SerialNumber;AssetTag;Name;MemberOf;IsSupervised;IsManaged;IsLostModeEnabled;OsVersion;CurrentLocation;CurrentIPAddress;LastConnected;EnrollmentDate;Notes;DeviceUDID;OwnerFirstName;OwnerLastName;OwnerEmail;OwnerUserName;Model;WiFiMAC;EthernetMAC;IMEI;MEID
DMPDP143Q1GF;;"STAFF 011";"All iPads,All iPads,Staff iPads,Google Meets Test";1;1;0;14.4.1;"Holy Trinity C of E School";46.183.196.122;"16-10-2022 10:59:21";"14-12-2020 15:45:00";;00008020-0019659C34A2402E;;;;;"iPad (8th generation, Wi-Fi Only)";44:a8:fc:79:1b:75;;;
DMPDPDU6Q1GF;;"STAFF 012";"All iPads,All iPads,Staff iPads";1;1;0;15.6.1;;149.106.174.182;"24-04-2023 09:20:20";"14-12-2020 15:05:48";;00008020-000958C82144402E;;;;;"iPad (8th generation, Wi-Fi Only)";44:a8:fc:7a:f7:62;;;
H96DR1M9Q1GF;;"STAFF 013";"All iPads,All iPads,Staff iPads";1;1;0;14.8.1;;149.106.174.182;"24-04-2023 09:18:38";"14-12-2020 16:05:07";;00008020-00112D4801E2402E;;;;;"iPad (8th generation, Wi-Fi Only)";78:e3:de:82:3b:48;;;
H96DR1YYQ1GF;;"Staff 014";"All iPads,All iPads,Staff iPads";1;1;0;14.4.1;;149.106.174.182;"24-04-2023 09:32:08";"14-12-2020 16:02:47";;00008020-00120D493C84402E;;;;;"iPad (8th generation, Wi-Fi Only)";78:e3:de:82:28:e2;;;
H98DQ3M0Q1GF;;"STAFF 015";"All iPads,All iPads,Staff iPads";1;1;0;14.6.0;;149.106.174.182;"24-04-2023 09:18:38";"15-12-2020 09:58:01";;00008020-00193C403E22402E;;;;;"iPad (8th generation, Wi-Fi Only)";78:e3:de:82:af:5d;;;
H98DR5BZQ1GF;;"STAFF 016";"All iPads,All iPads,Staff iPads";1;1;0;14.7.1;;149.106.174.182;"24-04-2023 09:20:51";"15-12-2020 09:55:55";;00008020-0010395C0CA2402E;;;;;"iPad (8th generation, Wi-Fi Only)";78:e3:de:88:35:e0;;;
H96DR0F4Q1GF;;"STAFF 017";"All iPads,All iPads,Staff iPads";1;1;0;15.6.1;;149.106.174.182;"24-04-2023 09:22:55";"15-12-2020 10:15:26";;00008020-00056C10110A402E;;;;;"iPad (8th generation, Wi-Fi Only)";78:e3:de:7d:b4:6d;;;
H96DR0RHQ1GF;;"STAFF 018";"All iPads,All iPads,Staff iPads";1;1;0;14.8.1;;149.106.174.182;"24-04-2023 09:18:37";"15-03-2021 15:11:40";;00008020-001C545A1144402E;;;;;"iPad (8th generation, Wi-Fi Only)";78:e3:de:81:8d:05;;;
DMQDQ9ECQ1GF;;"STAFF 019";"All iPads,All iPads,Staff iPads";1;1;0;15.6.1;;149.106.174.182;"24-04-2023 09:20:31";"15-12-2020 10:06:16";;00008020-001979000C02402E;;;;;"iPad (8th generation, Wi-Fi Only)";78:e3:de:79:1a:23;;;
DMPSX28THG5D;;"STAFF 1";"All iPads,All iPads,Staff iPads";1;1;0;15.7.5;;149.106.174.182;"24-04-2023 09:20:20";"31-07-2020 11:22:30";;042fb4c52524ccdcf4e0b68ebdd2849b25945509;;;;;"iPad Air 2 (WiFi)";6c:19:c0:4c:ec:ef;;;
DMPSX3EKHG5D;;"STAFF 10";"All iPads,All iPads,Staff iPads";1;1;0;15.7.3;;149.106.174.182;"24-04-2023 09:18:44";"31-07-2020 10:14:37";;48051dfa6f153ece8f8807fea653628d1b859cb0;;;;;"iPad Air 2 (WiFi)";6c:19:c0:35:6e:14;;;
F9FF3V0BQ1GC;;"STAFF 175";"All iPads,All iPads,Staff iPads";1;1;0;14.7.1;;149.106.174.182;"24-04-2023 09:18:44";"09-03-2021 10:59:49";;00008020-001558C61A2A402E;;;;;"iPad (8th generation, Wi-Fi Only)";34:31:8f:ce:ea:a5;;;
F9FF3TFHQ1GC;;"STAFF 177";"All iPads,All iPads,Staff iPads";1;1;0;15.5.0;"Holy Trinity C of E School";46.183.196.122;"16-10-2022 11:00:04";"09-03-2021 10:59:52";;00008020-001444492E01402E;;;;;"iPad (8th generation, Wi-Fi Only)";34:31:8f:c0:79:24;;;
F9FF3VWSQ1GC;;"STAFF 179";"All iPads,All iPads,Staff iPads";1;1;0;14.8.1;"Holy Trinity C of E School";46.183.196.122;"16-10-2022 10:59:27";"09-03-2021 11:39:03";;00008020-0006485202BA402E;;;;;"iPad (8th generation, Wi-Fi Only)";34:31:8f:ce:e0:b0;;;
GCGVW39UHLF9;;"Staff 180";"All iPads,All iPads,Staff iPads";1;1;0;15.6.1;;149.106.174.182;"24-04-2023 09:22:05";"31-07-2020 14:01:21";;d31dcc047c8a9f178662a8d88f17d41e7e359ca4;;;;;"iPad (5th generation, Wi‑Fi)";a0:4e:a7:e0:42:30;;;
DMPSX1TKHG5D;;"STAFF 4";"All iPads,All iPads,Staff iPads";1;1;0;15.6.1;"Holy Trinity C of E School";46.183.196.122;"14-10-2022 20:59:16";"31-07-2020 10:24:58";;862b77ee6797221716f18618945916aeebbf55a0;;;;;"iPad Air 2 (WiFi)";6c:19:c0:31:78:e4;;;
DMPSX09QHG5D;;"STAFF 7";"All iPads,All iPads,Staff iPads";1;1;0;15.5.0;;149.106.174.182;"24-04-2023 09:18:44";"31-07-2020 10:23:48";;cb9bc5b2ed7e8ecfe7691cab372fb8b20c23cc71;;;;;"iPad Air 2 (WiFi)";6c:19:c0:4c:e8:f3;;;
DMPSX1QFHG5D;;"STAFF 9";"All iPads,All iPads,Staff iPads";1;1;0;15.7.2;;149.106.174.182;"24-04-2023 09:39:30";"31-07-2020 10:24:17";;a3dc183f9f20b24d8301cad554b66e22c5370ca6;;;;;"iPad Air 2 (WiFi)";6c:19:c0:3e:59:da;;;
F9FF3SUKQ1GC;;"Student 190";"All iPads,All iPads,Staff iPads,Student iPads";1;1;0;14.4.1;;149.106.174.182;"24-04-2023 09:53:57";"09-03-2021 10:59:49";;00008020-001425DA0ABA402E;;;;;"iPad (8th generation, Wi-Fi Only)";34:31:8f:cd:a5:dc;;;
